iCUSIP	iPERIOD_END	x1	x4	x5
00162Q783	2015-12-31	0	0.0	
00162Q783	2016-03-31	0	0.0	
00162Q783	2016-06-30	0	0.0	
00162Q783	2016-09-30	0	0.0	
00162Q783	2017-03-31	0	0.0	
00162Q783	2017-06-30	0	0.0	
00162Q791	2013-09-30	0	0.3333333333333333	0.20773548040829518
00162Q791	2013-12-31	1	0.3333333333333333	0.20773548040829518
00162Q791	2014-03-31	1	0.3333333333333333	0.20773548040829518
00162Q791	2014-06-30	1	0.3333333333333333	0.20773548040829518
00162Q791	2014-09-30	2	0.3333333333333333	0.20773548040829518
00162Q791	2014-12-31	1	0.3333333333333333	0.20773548040829518
00162Q791	2015-03-31	2	0.3333333333333333	0.20773548040829518
00162Q791	2015-06-30	2	0.3333333333333333	0.20773548040829518
00162Q791	2015-09-30	2	0.3333333333333333	0.20773548040829518
00162Q791	2015-12-31	0	0.3333333333333333	0.20773548040829518
00162Q791	2016-03-31	1	0.3333333333333333	0.20773548040829518
00162Q791	2016-06-30	1	0.3333333333333333	0.20773548040829518
00162Q791	2016-09-30	0	0.3333333333333333	0.20773548040829518
00162Q791	2017-03-31	0	0.3333333333333333	0.20773548040829518
00162Q791	2017-06-30	0	0.3333333333333333	0.20773548040829518
00162Q858	2013-09-30	2	0.1	0.01696228423139964
00162Q858	2013-12-31	2	0.1	0.01696228423139964
00162Q858	2014-03-31	3	0.1	0.01696228423139964
00162Q858	2014-06-30	2	0.1	0.01696228423139964
00162Q858	2014-09-30	2	0.1	0.01696228423139964
00162Q858	2014-12-31	2	0.1	0.01696228423139964
00162Q858	2015-03-31	3	0.1	0.01696228423139964
00162Q858	2015-06-30	2	0.1	0.01696228423139964
00162Q858	2015-09-30	2	0.1	0.01696228423139964
00162Q858	2015-12-31	1	0.1	0.01696228423139964
00162Q858	2016-03-31	2	0.1	0.01696228423139964
00162Q858	2016-06-30	1	0.1	0.01696228423139964
00162Q858	2016-09-30	3	0.1	0.01696228423139964
00162Q858	2017-03-31	3	0.1	0.01696228423139964
00162Q858	2017-06-30	1	0.1	0.01696228423139964
00162Q866	2013-09-30	8	0.19704433497536947	0.0297098679290947
00162Q866	2013-12-31	11	0.19704433497536947	0.0297098679290947
00162Q866	2014-03-31	12	0.19704433497536947	0.0297098679290947
00162Q866	2014-06-30	12	0.19704433497536947	0.0297098679290947
00162Q866	2014-09-30	15	0.19704433497536947	0.0297098679290947
00162Q866	2014-12-31	15	0.19704433497536947	0.0297098679290947
00162Q866	2015-03-31	16	0.19704433497536947	0.0297098679290947
00162Q866	2015-06-30	18	0.19704433497536947	0.0297098679290947
00162Q866	2015-09-30	18	0.19704433497536947	0.0297098679290947
00162Q866	2015-12-31	14	0.19704433497536947	0.0297098679290947
00162Q866	2016-03-31	13	0.19704433497536947	0.0297098679290947
00162Q866	2016-06-30	12	0.19704433497536947	0.0297098679290947
00162Q866	2016-09-30	12	0.19704433497536947	0.0297098679290947
00162Q866	2017-03-31	12	0.19704433497536947	0.0297098679290947
00162Q866	2017-06-30	9	0.19704433497536947	0.0297098679290947
00164V103	2013-09-30	0	0.15151515151515152	0.06603914540113648
00164V103	2013-12-31	1	0.15151515151515152	0.06603914540113648
00164V103	2014-03-31	0	0.15151515151515152	0.06603914540113648
00164V103	2014-06-30	1	0.15151515151515152	0.06603914540113648
00164V103	2014-09-30	2	0.15151515151515152	0.06603914540113648
00164V103	2014-12-31	2	0.15151515151515152	0.06603914540113648
00164V103	2015-03-31	2	0.15151515151515152	0.06603914540113648
00164V103	2015-06-30	2	0.15151515151515152	0.06603914540113648
00164V103	2015-09-30	2	0.15151515151515152	0.06603914540113648
00164V103	2015-12-31	2	0.15151515151515152	0.06603914540113648
00164V103	2016-03-31	2	0.15151515151515152	0.06603914540113648
00164V103	2016-06-30	2	0.15151515151515152	0.06603914540113648
00164V103	2016-09-30	2	0.15151515151515152	0.06603914540113648
00164V103	2017-03-31	3	0.15151515151515152	0.06603914540113648
00164V103	2017-06-30	3	0.15151515151515152	0.06603914540113648
001744101	2013-09-30	1	0.024390243902439025	0.17607223476297967
001744101	2013-12-31	1	0.024390243902439025	0.17607223476297967
001744101	2014-03-31	2	0.024390243902439025	0.17607223476297967
001744101	2014-06-30	2	0.024390243902439025	0.17607223476297967
001744101	2014-09-30	2	0.024390243902439025	0.17607223476297967
001744101	2014-12-31	3	0.024390243902439025	0.17607223476297967
001744101	2015-03-31	3	0.024390243902439025	0.17607223476297967
001744101	2015-06-30	3	0.024390243902439025	0.17607223476297967
001744101	2015-09-30	3	0.024390243902439025	0.17607223476297967
001744101	2015-12-31	3	0.024390243902439025	0.17607223476297967
001744101	2016-03-31	2	0.024390243902439025	0.17607223476297967
001744101	2016-06-30	5	0.024390243902439025	0.17607223476297967
001744101	2016-09-30	3	0.024390243902439025	0.17607223476297967
001744101	2017-03-31	3	0.024390243902439025	0.17607223476297967
001744101	2017-06-30	3	0.024390243902439025	0.17607223476297967
001765106	2013-09-30	1	0.0	
00184X105	2013-09-30	0	0.16666666666666666	1.0
00184X105	2013-12-31	1	0.16666666666666666	1.0
00184X105	2014-03-31	1	0.16666666666666666	1.0
00184X105	2014-06-30	1	0.16666666666666666	1.0
00184X105	2014-09-30	2	0.16666666666666666	1.0
00184X105	2014-12-31	1	0.16666666666666666	1.0
00184X105	2015-03-31	1	0.16666666666666666	1.0
00206R102	2013-09-30	51	0.08734270910436713	0.15421716921467815
00206R102	2013-12-31	66	0.08734270910436713	0.15421716921467815
00206R102	2014-03-31	76	0.08734270910436713	0.15421716921467815
00206R102	2014-06-30	78	0.08734270910436713	0.15421716921467815
00206R102	2014-09-30	75	0.08734270910436713	0.15421716921467815
00206R102	2014-12-31	78	0.08734270910436713	0.15421716921467815
00206R102	2015-03-31	87	0.08734270910436713	0.15421716921467815
00206R102	2015-06-30	91	0.08734270910436713	0.15421716921467815
00206R102	2015-09-30	89	0.08734270910436713	0.15421716921467815
00206R102	2015-12-31	90	0.08734270910436713	0.15421716921467815
00206R102	2016-03-31	96	0.08734270910436713	0.15421716921467815
00206R102	2016-06-30	94	0.08734270910436713	0.15421716921467815
00206R102	2016-09-30	81	0.08734270910436713	0.15421716921467815
00206R102	2017-03-31	97	0.08734270910436713	0.15421716921467815
